service_id,date,exception_type
平日,20190101,2
平日,20190102,1
平日,20190103,1
平日,20190114,2
平日,20190211,2
平日,20190321,2
平日,20190429,2
平日,20190430,2
平日,20190501,2
平日,20190502,2
平日,20190503,2
平日,20190504,2
平日,20190505,2
平日,20190506,2
平日,20190715,2
平日,20190811,2
平日,20190812,2
平日,20190916,2
平日,20190923,2
平日,20191014,2
平日,20191022,2
平日,20191103,2
平日,20191104,2
平日,20191123,2
平日,20191230,1
平日,20191231,1
平日,20200101,2
平日,20200102,1
平日,20200103,1
平日,20200113,2
平日,20200211,2
平日,20200320,2
毎日,20190101,2
毎日,20190102,1
毎日,20190103,1
毎日,20190114,2
毎日,20190211,2
毎日,20190321,2
毎日,20190429,2
毎日,20190430,2
毎日,20190501,2
毎日,20190502,2
毎日,20190503,2
毎日,20190504,2
毎日,20190505,2
毎日,20190506,2
毎日,20190715,2
毎日,20190811,2
毎日,20190812,2
毎日,20190916,2
毎日,20190923,2
毎日,20191014,2
毎日,20191022,2
毎日,20191103,2
毎日,20191104,2
毎日,20191123,2
毎日,20191230,1
毎日,20191231,1
毎日,20200101,2
毎日,20200102,1
毎日,20200103,1
毎日,20200113,2
毎日,20200211,2
毎日,20200320,2
