trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
11+毎日+1,8:00:00,8:00:00,1_1,1,,0,1
11+毎日+1,8:05:00,8:05:00,2_1,2,,0,0
11+毎日+1,8:07:00,8:07:00,3_1,3,,0,0
11+毎日+1,8:09:00,8:09:00,4_1,4,,0,0
11+毎日+1,8:11:00,8:11:00,5_1,5,,0,0
11+毎日+1,8:16:00,8:16:00,6_1,6,,0,0
11+毎日+1,8:21:00,8:21:00,7_1,7,,0,0
11+毎日+1,8:22:00,8:22:00,8_1,8,,0,0
11+毎日+1,8:27:00,8:27:00,9_1,9,,0,0
11+毎日+1,8:28:00,8:28:00,10_1,10,,0,0
11+毎日+1,8:29:00,8:29:00,11_1,11,,0,0
11+毎日+1,8:31:00,8:31:00,12_1,12,,0,0
11+毎日+1,8:32:00,8:32:00,13_1,13,,0,0
11+毎日+1,8:34:00,8:34:00,14_1,14,,0,0
11+毎日+1,8:37:00,8:37:00,15_1,15,,0,0
11+毎日+1,8:38:00,8:38:00,16_1,16,,0,0
11+毎日+1,8:39:00,8:39:00,17_1,17,,0,0
11+毎日+1,8:41:00,8:41:00,18_1,18,,0,0
11+毎日+1,8:42:00,8:42:00,19_1,19,,0,0
11+毎日+1,8:44:00,8:44:00,20_1,20,,0,0
11+毎日+1,8:45:00,8:45:00,21_1,21,,0,0
11+毎日+1,8:47:00,8:47:00,22_1,22,,0,0
11+毎日+1,8:49:00,8:49:00,23_1,23,,0,0
11+毎日+1,8:50:00,8:50:00,24_1,24,,0,0
11+毎日+1,8:52:00,8:52:00,25_1,25,,0,0
11+毎日+1,8:53:00,8:53:00,26_1,26,,0,0
11+毎日+1,8:54:00,8:54:00,27_1,27,,0,0
11+毎日+1,8:57:00,8:57:00,28_1,28,,0,0
11+毎日+1,9:00:00,9:00:00,29_1,29,,0,0
11+毎日+1,9:03:00,9:03:00,30_1,30,,0,0
11+毎日+1,9:04:00,9:04:00,31_1,31,,0,0
11+毎日+1,9:06:00,9:06:00,32_1,32,,0,0
11+毎日+1,9:08:00,9:08:00,33_1,33,,0,0
11+毎日+1,9:13:00,9:13:00,34_1,34,,0,0
11+毎日+1,9:17:00,9:17:00,35_1,35,,0,0
11+毎日+1,9:18:00,9:18:00,36_1,36,,0,0
11+毎日+1,9:23:00,9:23:00,37_1,37,,0,0
11+毎日+1,9:35:00,9:35:00,38_1,38,,0,0
11+毎日+1,9:38:00,9:38:00,39_1,39,,1,0
12+毎日+3,10:10:00,10:10:00,1_1,1,,0,1
12+毎日+3,10:15:00,10:15:00,2_1,2,,0,0
12+毎日+3,10:17:00,10:17:00,3_1,3,,0,0
12+毎日+3,10:19:00,10:19:00,4_1,4,,0,0
12+毎日+3,10:21:00,10:21:00,5_1,5,,0,0
12+毎日+3,10:26:00,10:26:00,6_1,6,,0,0
12+毎日+3,10:31:00,10:31:00,7_1,7,,0,0
12+毎日+3,10:32:00,10:32:00,8_1,8,,0,0
12+毎日+3,10:37:00,10:37:00,9_1,9,,0,0
12+毎日+3,10:38:00,10:38:00,10_1,10,,0,0
12+毎日+3,10:39:00,10:39:00,11_1,11,,0,0
12+毎日+3,10:41:00,10:41:00,12_1,12,,0,0
12+毎日+3,10:42:00,10:42:00,13_1,13,,0,0
12+毎日+3,10:44:00,10:44:00,14_1,14,,0,0
12+毎日+3,10:47:00,10:47:00,15_1,15,,0,0
12+毎日+3,10:48:00,10:48:00,16_1,16,,0,0
12+毎日+3,10:49:00,10:49:00,17_1,17,,0,0
12+毎日+3,10:51:00,10:51:00,18_1,18,,0,0
12+毎日+3,10:52:00,10:52:00,19_1,19,,0,0
12+毎日+3,10:54:00,10:54:00,20_1,20,,0,0
12+毎日+3,10:55:00,10:55:00,21_1,21,,0,0
