stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
1,松枝バス停,35.9486997,139.1536192,1,1,
1_1,松枝バス停,35.9486997,139.1536192,1_1,0,1
1_2,松枝バス停,35.9486997,139.1536192,1_2,0,1
2,長渕バス停,35.9598271,139.1595372,2,1,
2_1,長渕バス停,35.9598271,139.1595372,2_1,0,2
2_2,長渕バス停,35.9598271,139.1595372,2_2,0,2
3,中井橋バス停,35.9687203,139.1614127,3,1,
3_1,中井橋バス停,35.9687203,139.1614127,3_1,0,3
3_2,中井橋バス停,35.9687203,139.1614127,3_2,0,3
4,赤谷バス停,35.974428,139.1536179,4,1,
4_1,赤谷バス停,35.974428,139.1536179,4_1,0,4
4_2,赤谷バス停,35.974428,139.1536179,4_2,0,4
5,芦ヶ久保郵便局,35.9778955,139.1367135,5,1,
5_1,芦ヶ久保郵便局,35.9778955,139.1367135,5_1,0,5
5_2,芦ヶ久保郵便局,35.9778955,139.1367135,5_2,0,5
6,日向山公会堂,35.9854652,139.1353269,6,1,
6_1,日向山公会堂,35.9854652,139.1353269,6_1,0,6
6_2,日向山公会堂,35.9854652,139.1353269,6_2,0,6
7,活性化センター,35.9775474,139.1345607,7,1,
7_1,活性化センター,35.9775474,139.1345607,7_1,0,7
7_2,活性化センター,35.9775474,139.1345607,7_2,0,7
8,芦ヶ久保駅,35.9769561,139.1368949,8,1,
8_1,芦ヶ久保駅,35.9769561,139.1368949,8_1,0,8
8_2,芦ヶ久保駅,35.9769561,139.1368949,8_2,0,8
9,3区コミュニテイ広場,35.9759347,139.111288,9,1,
9_1,3区コミュニテイ広場,35.9759347,139.111288,9_1,0,9
9_2,3区コミュニテイ広場,35.9759347,139.111288,9_2,0,9
10,里宮前,35.9742052,139.1089074,10,1,
10_1,里宮前,35.9742052,139.1089074,10_1,0,10
10_2,里宮前,35.9742052,139.1089074,10_2,0,10
11,川連製作所,35.9713816,139.1084747,11,1,
11_1,川連製作所,35.9713816,139.1084747,11_1,0,11
11_2,川連製作所,35.9713816,139.1084747,11_2,0,11
12,横瀬石油,35.970257,139.1044629,12,1,
12_1,横瀬石油,35.970257,139.1044629,12_1,0,12
12_2,横瀬石油,35.970257,139.1044629,12_2,0,12
13,3区公会堂,35.9771815,139.1076599,13,1,
13_1,3区公会堂,35.9771815,139.1076599,13_1,0,13
13_2,3区公会堂,35.9771815,139.1076599,13_2,0,13
14,総合福祉センター,35.981475,139.1098168,14,1,
14_1,総合福祉センター,35.981475,139.1098168,14_1,0,14
14_2,総合福祉センター,35.981475,139.1098168,14_2,0,14
15,苅米公会堂,35.9834202,139.1100005,15,1,
15_1,苅米公会堂,35.9834202,139.1100005,15_1,0,15
15_2,苅米公会堂,35.9834202,139.1100005,15_2,0,15
16,寺坂棚田第1駐車場,35.9874477,139.1074749,16,1,
16_1,寺坂棚田第1駐車場,35.9874477,139.1074749,16_1,0,16
16_2,寺坂棚田第1駐車場,35.9874477,139.1074749,16_2,0,16
17,町民会館,35.9866443,139.1033096,17,1,
17_1,町民会館,35.9866443,139.1033096,17_1,0,17
17_2,町民会館,35.9866443,139.1033096,17_2,0,17
18,横瀬郵便局前,35.9863353,139.101796,18,1,
18_1,横瀬郵便局前,35.9863353,139.101796,18_1,0,18
18_2,横瀬郵便局前,35.9863353,139.101796,18_2,0,18
19,札所9番,35.9839143,139.1028449,19,1,
19_1,札所9番,35.9839143,139.1028449,19_1,0,19
19_2,札所9番,35.9839143,139.1028449,19_2,0,19
20,横瀬駅,35.9854267,139.0981103,20,1,
20_1,横瀬駅,35.9854267,139.0981103,20_1,0,20
20_2,横瀬駅,35.9854267,139.0981103,20_2,0,20
21,横瀬町役場,35.987452,139.0999118,21,1,
21_1,横瀬町役場,35.987452,139.0999118,21_1,0,21
